150540,12
14160,12
12,12
354912,12
354912,51
10681,12
585,12
862,12
8587,12
9806,16
9806,12
808,12
2062,12
2062,16
109445,12
269149,12
129,31
177572,12
20352,12
324857,12
324857,31
324857,51
10193,12
10193,51
920,12
920,30
920,31
920,57
863,12
62177,12
425,12
10191,12
260513,12
82690,12
277834,12
127380,12
809,12
812,12
38757,12
93456,12
9502,12
372058,31
953,12
953,16
953,20
953,44
953,51
211672,12
62211,12
508442,12
10020,16
10020,12
301528,12
950,12
330457,12
82702,12
10674,12
10674,37
4935,31
568124,51
568124,12
9487,12
9479,12
810,12
3933,12
76492,12
8355,12
328111,12
508943,12
508943,30
335797,12
35,12
10144,12
10144,16
137106,12
128,31
8392,31
49013,12
49013,16
49013,20
49013,30
49013,31
57800,12
404368,12
14836,12
408,12
11970,12
11970,51
11970,21
223702,12
10192,12
502356,12
295693,12
49519,12
324852,12
315162,12
315162,51
10527,12
10527,30
49444,12
38055,12
527774,12
11224,12
37135,12
81188,16
81188,12
46195,12
46195,44
11688,12
44896,12
10555,12
166428,12
12230,12
9325,12
508439,12
5255,12
11544,12
80321,12
2300,12
13053,12
22794,12
12092,12
10895,12
159824,12
140300,12
10530,12
260514,12
3170,12
856,12
105864,12
10386,12
10198,16
10198,12
17578,12
10009,8
10009,12
10009,27
10693,12
9444,12
9444,46
9444,16
10340,12
12477,31
10315,12
10315,16
10315,34
10882,12
9836,12
10112,12
10545,34
10545,12
324849,12
11360,12
5559,12
7443,12
508947,5
508947,37
508947,32
508947,16
508947,12
399174,12
399174,31
569094,12
569094,24
569094,30
569094,51
10865,12
10865,16
10865,51
15512,12
9023,12
9928,12
9928,30
278154,12
17979,12
7518,12
8916,12
6477,12
6477,51
6477,16
6477,31
9732,12
400155,12
11886,12
438695,12
270946,12
9016,12
12429,31
10515,31
379686,12
8965,12
149,31
228161,12
9297,12
9837,23
9837,12
8920,12
9982,12
378064,31
16859,31
417859,51
417859,12
9078,12
508965,12
508965,40
508965,47
41513,12
529203,12
11619,12
10501,12
635302,31
360920,12
153518,12
313297,12
136799,12
12244,12
73723,12
172385,12
172385,44
15969,12
81,31
438148,12
718789,12
77950,12
12222,12
62214,12
9323,31
10948,12
11621,31
109451,12
378236,12
756,12
412117,12
11430,12
400160,12
503314,31
9992,12
23398,12
23398,16
149870,16
149870,20
149870,30
149870,31
364689,12
11836,12
2310,12
309809,12
1267,12
501929,12
431693,12
51739,31
610150,31
116711,12
7484,12
976573,12
555604,12
9473,12
228326,12
533,12
12144,12
77174,12
11319,12
10567,12
587807,12
339877,12
459151,12
9408,12
10996,12
16690,12
82703,12
12242,12
10494,31
228165,12
332210,12
41216,12
481084,12
110420,31
4977,12
4977,31
77931,12
55301,12
9513,12
9513,16
280217,12
568160,31
446893,12
16866,12
16866,51
21032,12
431580,12
15370,31
14411,12
13700,37
13700,12
14069,31
198375,31
12180,12
125521,31
45772,12
24238,12
24238,57
38142,31
2011,42
2011,16
2011,20
342473,12
19585,12
37797,31
326359,12
11238,12
317442,31
303857,31
183011,12
382322,12
629542,12
482321,12
585083,12
381719,12
140420,12
242828,31
10982,12
10898,12
3509,12
15789,12
291270,12
385103,12
26505,12
149871,31
774825,12
170687,12
83389,31
151960,12
399106,12
258509,12
454640,12
9994,12
227973,12
65759,12
43641,12
40662,12
40662,34
40662,51
123025,16
123025,12
123025,44
12233,12
585511,12
55931,12
55931,31
42949,12
446894,12
10715,12
126963,31
16577,12
18491,31
10010,12
15165,12
460793,12
618344,12
315465,31
2114,12
142061,44
142061,12
539681,12
10228,31
14128,12
504253,31
137116,12
347201,31
51052,12
51052,51
110416,12
110416,18
110416,29
13179,12
20760,12
664767,12
9906,12
560057,12
263109,12
13761,12
667520,31
170522,16
4978,12
359983,12
393559,16
560050,12
37933,12
37933,31
10539,12
630656,12
77459,16
586940,16
49948,12
550205,37
550205,12
18269,12
13417,12
16119,12
337703,39
337703,33
639721,12
639721,51
639721,34
639721,56
15015,12
11135,12
675445,12
10957,12
10957,2
10957,44
50359,12
13690,12
13690,16
75258,12
13930,39
13930,33
268531,12
527729,16
9385,16
514754,12
420821,12
592350,31
810693,31
13654,12
351044,12
13398,12
13398,31
13398,51
14873,12
877269,12
13002,12
13929,39
13929,33
15657,12
647,31
474395,12
16234,12
21348,16
242643,12
755812,16
15016,12
441130,12
441130,29
286192,12
1273,12
11639,12
7450,12
7450,37
486589,12
