150540,1949
150540,2761
14160,1949
12,1949
354912,1949
354912,2761
10681,1949
10681,2761
585,1949
862,1949
8587,2761
8587,2759
9806,1949
9806,2761
808,722
808,1868
808,718
2062,1949
2062,2761
109445,2761
109445,2758
269149,2758
269149,2761
129,2377
177572,2761
177572,2758
20352,1183
20352,2685
324857,549
324857,1464
324857,1894
324857,2289
324857,167
10193,1949
10193,2761
920,1949
920,2761
863,1949
62177,2761
62177,1949
425,6
425,5
425,367
10191,718
10191,1886
260513,2761
260513,1949
82690,2758
82690,2761
277834,2761
277834,2758
277834,1148
127380,1949
127380,2761
809,722
809,1868
809,718
812,2761
812,2759
38757,2758
38757,2761
93456,1183
93456,2685
9502,718
9502,1886
372058,539
372058,2452
372058,1270
372058,746
372058,48
372058,2903
372058,1389
372058,27
953,722
953,1868
953,718
211672,1183
211672,2685
62211,1949
62211,2761
508442,2761
508442,1949
10020,2761
10020,2240
10020,2759
301528,2761
301528,1949
950,6
950,367
950,5
330457,2761
330457,2758
82702,718
82702,1533
82702,2711
82702,5
10674,2761
10674,2759
4935,2377
4935,2879
4935,1660
4935,1770
4935,2445
4935,2585
4935,2877
568124,2758
568124,2761
9487,1949
9487,2761
9479,2571
9479,2252
9479,2609
9479,2761
810,718
810,1868
810,1886
3933,2571
3933,1375
3933,1902
3933,2780
3933,2807
3933,2570
76492,549
76492,2289
8355,367
8355,6
8355,5
328111,1183
328111,2685
508943,1949
508943,2761
335797,1183
335797,2685
335797,941
335797,2878
35,1036
35,5
10144,2761
10144,2240
10144,2759
137106,2723
137106,2043
137106,1358
137106,1444
137106,2711
137106,2781
137106,140
128,2377
128,1749
128,2879
128,2451
128,2585
128,1770
128,2878
8392,2377
8392,1749
8392,2585
49013,1949
49013,2761
57800,367
57800,6
57800,5
404368,2761
404368,2758
14836,898
14836,1375
14836,1876
408,2763
11970,2761
11970,2759
223702,549
223702,157
223702,1963
223702,1772
10192,718
10192,1886
502356,2685
502356,1183
502356,1761
295693,718
295693,5
49519,718
49519,5
324852,1183
324852,2685
315162,718
315162,2685
10527,718
10527,1868
10527,1886
49444,718
49444,1886
38055,718
38055,1886
38055,1868
527774,2761
527774,2758
11224,2763
37135,2761
37135,750
37135,2759
81188,718
81188,1886
46195,367
46195,6
46195,5
11688,2761
11688,2759
44896,1886
44896,1752
44896,966
44896,357
44896,1209
10555,718
10555,722
166428,718
166428,1533
12230,2763
9325,2763
508439,2761
508439,1949
5255,1020
5255,1958
5255,1187
5255,470
5255,2204
11544,2761
11544,2759
80321,718
80321,1886
80321,1868
2300,2780
2300,1789
2300,583
2300,2772
13053,2758
13053,2761
22794,2289
22794,549
12092,2763
10895,2763
159824,549
159824,2289
140300,1913
140300,718
140300,498
140300,5
10530,2761
10530,2759
260514,1949
3170,2763
856,118
856,2239
856,2609
105864,1949
10386,2780
10386,2772
10198,2761
10198,2758
17578,1886
17578,549
17578,2809
17578,118
17578,1752
17578,1112
17578,2539
17578,722
10009,2759
10693,2763
9444,909
9444,910
9444,2527
9444,1454
9444,5
10340,2763
12477,2377
10315,2055
10315,1204
10315,121
10882,2763
9836,1303
9836,140
10112,2763
10545,2761
10545,2759
324849,1444
324849,2772
324849,140
324849,612
324849,1464
324849,2780
324849,1358
324849,2781
11360,2763
5559,551
5559,718
5559,1886
7443,718
7443,66
7443,1903
7443,722
508947,2761
508947,1949
399174,2362
399174,121
399174,1204
399174,2174
569094,549
569094,2289
569094,1464
569094,1894
569094,167
10865,2761
10865,2759
15512,718
15512,1886
9023,718
9023,722
9928,367
9928,6
9928,5
278154,367
278154,6
278154,5
17979,2761
17979,1187
7518,718
7518,1886
8916,718
8916,1868
8916,722
6477,908
6477,2055
6477,259
6477,724
6477,5
9732,693
9732,694
9732,2761
400155,549
400155,2289
11886,2763
438695,2685
438695,1183
270946,718
270946,1868
9016,2761
9016,2759
12429,2377
12429,2452
12429,1770
12429,2878
12429,1077
12429,2557
12429,1660
10515,2377
10515,1749
10515,2585
379686,2781
379686,2310
379686,2002
379686,2780
8965,693
149,1506
149,2405
149,2452
149,2375
149,2359
149,1331
149,268
149,2589
228161,718
228161,5
9297,1187
9297,118
9837,718
9837,722
8920,649
8920,5
9982,2761
9982,2759
378064,1355
378064,39
378064,1331
378064,1973
378064,2013
378064,2213
16859,2377
16859,1749
16859,2375
16859,2585
16859,1770
417859,718
417859,1886
9078,2763
508965,213
508965,2552
41513,2289
41513,1304
41513,549
41513,2288
529203,2685
529203,718
11619,718
11619,66
11619,1886
10501,718
10501,722
635302,2901
635302,154
635302,2225
635302,2452
360920,1183
360920,708
360920,2680
153518,549
153518,2097
153518,2096
313297,1375
313297,898
136799,718
136799,5
12244,2571
12244,2058
12244,170
12244,2323
12244,898
73723,2685
73723,1183
73723,553
172385,367
172385,6
172385,5
15969,693
81,2605
438148,2685
438148,1183
718789,1949
718789,2761
77950,718
77950,5
12222,367
12222,6
12222,5
12222,708
62214,2571
9323,278
9323,1993
9323,1331
9323,1561
10948,2763
11621,2377
11621,2766
109451,549
109451,2289
378236,549
378236,2289
378236,302
756,2763
412117,2685
412117,1183
11430,694
11430,2761
400160,2673
400160,1752
400160,1887
400160,1886
400160,1521
400160,1640
503314,2582
503314,2225
503314,941
503314,2583
503314,347
503314,9
503314,2830
503314,273
503314,2871
503314,2025
9992,447
9992,2273
9992,227
9992,794
9992,2559
9992,1625
9992,1627
23398,908
23398,259
23398,2055
23398,5
23398,724
149870,2377
149870,1770
149870,2878
149870,1077
149870,2557
149870,2877
149870,2452
364689,367
364689,6
364689,649
364689,5
11836,1886
11836,1752
11836,2673
11836,2095
2310,1886
2310,2204
2310,1187
309809,1847
309809,1803
309809,447
309809,434
309809,1362
309809,1498
309809,1833
309809,1886
309809,1478
309809,1887
1267,2761
1267,2758
501929,1464
501929,549
501929,2289
501929,1835
431693,495
431693,367
431693,6
431693,5
51739,2377
51739,1077
51739,1661
51739,2878
51739,2452
51739,1770
51739,2803
51739,2557
51739,2761
610150,2582
610150,2225
610150,941
610150,270
610150,347
610150,2583
116711,367
116711,6
116711,5
7484,2289
7484,549
976573,2761
976573,1949
555604,2538
555604,2198
555604,704
9473,555
9473,554
9473,1886
9473,2174
9473,2780
9473,2300
228326,2054
228326,6
228326,493
533,66
533,718
12144,2404
12144,2649
12144,118
77174,1375
77174,898
11319,2763
10567,2761
10567,2759
587807,2781
587807,2634
587807,2553
587807,2780
339877,383
339877,2611
339877,483
339877,1860
339877,1818
339877,1024
459151,718
459151,2685
9408,549
9408,2289
10996,549
10996,2052
10996,924
16690,693
16690,2761
82703,1868
82703,718
82703,406
82703,535
82703,5
12242,2761
12242,694
10494,1536
10494,2070
10494,1341
10494,190
10494,831
228165,1887
228165,1886
228165,1752
228165,1751
228165,2673
228165,695
228165,854
228165,2095
332210,2043
332210,2781
332210,2780
41216,140
41216,601
41216,2723
481084,524
481084,1772
481084,395
481084,1625
110420,2366
110420,1536
110420,1770
110420,1282
110420,2696
110420,609
110420,2842
110420,2452
4977,1883
4977,1536
4977,2288
77931,1734
77931,549
77931,2289
77931,1112
77931,1304
77931,2288
55301,908
55301,5
55301,2055
55301,724
55301,259
9513,5
9513,649
9513,724
9513,1552
9513,1211
280217,2711
280217,140
280217,2781
280217,1464
280217,2079
280217,1358
280217,2780
568160,539
568160,2337
568160,2452
568160,1270
568160,2903
568160,746
568160,1389
568160,2299
568160,2790
446893,718
446893,2685
446893,2878
16866,1180
16866,1088
21032,118
21032,117
21032,2685
431580,718
431580,1913
431580,2685
431580,2878
15370,2377
15370,1077
15370,1660
15370,1770
15370,2452
15370,2585
14411,718
14411,722
13700,2761
14069,1536
14069,1095
14069,1270
14069,1282
14069,2009
14069,1616
198375,539
12180,1476
12180,1475
12180,2780
125521,2582
125521,1234
125521,278
45772,2609
45772,2323
45772,2088
45772,1657
45772,1556
24238,2888
24238,1612
38142,539
2011,2272
2011,2290
2011,1862
2011,2275
2011,921
2011,671
2011,2273
2011,481
2011,2539
2011,1371
342473,1546
342473,455
342473,2011
342473,1357
19585,2761
19585,1253
19585,2795
37797,2377
37797,1770
37797,2585
37797,1076
326359,2758
11238,693
317442,154
303857,2582
303857,883
303857,2583
303857,912
303857,2225
303857,941
303857,266
303857,273
183011,612
183011,2772
183011,2786
183011,2135
382322,2772
382322,611
382322,612
629542,718
629542,2685
482321,1458
482321,625
482321,2460
585083,2289
585083,2288
585083,1521
585083,549
381719,549
381719,140
381719,3
381719,1828
381719,2175
381719,2178
381719,2289
140420,2761
140420,2758
242828,2377
242828,1077
242828,1273
242828,1770
242828,2452
242828,2878
242828,2689
242828,2557
242828,1660
10982,1289
10982,2559
